Heading,Content
SilverCloud ,"A self-guided interactive online resource to help build skills and strategies for managing depression, anxiety, and difficulty sleeping. "
Personal Follow Ups,Our Find@Northeastern professional support will provide helpful connections to the right resources for you. 
Free access to Headspace,"Mindfulness, meditation, sleep, focus, fitness & more. Build healthy habits and use Headspace anywhere, anytime. Create an account using your NUID. "
"Simply Call Find@Northeastern at +1.877.233.9477 (U.S.) 855.229.8797 (Canada), or +1.781.457.7777 (International).","Speak with an experienced clinician, get a referral for one-to-one counseling and access to free counseling sessions, and even schedule an appointment with a local or video counselor."
All Services Offered through Find@Northeastern are Confidential.,No information will be shared without your consent. You may review more information about confidentiality and release of medical information here.
What to Expect After Your First Call.,Click here to learn more about next steps.
"I am currently living outside the United States and can’t access the international number, what can I do?","For student’s residing outside of the United States, there are a few ways to access Find@Northeastern. Students in Canada can call 855.229.8797. If international call +1.781.457.7777. If these numbers are  not accessible, you can use the below link and website to initiate contact. Please note, this is not for international students, rather this service is for students learning outside of the United States.Website : http://studentconnect.resourcesforyourlife.comWebsite password: NortheasternSmart Phone App: iConnectYouApp code: 212530Email: support@resourcesforyourlife.com "
What to expect when you call Find@Northeastern,"Responsive, empathetic mental health support is available to full-time students, 24 hours a day, 7 days a week, from any location by calling Find@Northeastern at 877.233.9477 (within the U.S.), 855-229-8797 (Canada), or +1.781.457.7777 (International).Calls to Find@Northeastern are answered by licensed master’s level mental health clinicians—people who are there any time, day or night, to provide support and to help you address your immediate concerns. They will also review a care and safety plan as well as recommendations for next steps."
These steps may include a referral to:," Referral to unlimited in person or telehealth counseling within your local area. Ongoing in person counseling Ongoing telehealth counseling Exploration of SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more. UHCS services including follow-up visits, medication assessments, or a student support group Free Headspace account "
Are calls to Find@Northeastern confidential?,"All services offered through UHCS, including calls to Find@Northeastern, are confidential. No information will be shared with anyone outside of UHCS without your consent. You may review more information about confidentiality and release of medical information here."
What happens when I am referred to ongoing in person counseling?,"If you and the Find@Northeastern clinician decide that a referral to ongoing, in person therapy is appropriate, the clinician will try to connect you by phone—in that moment—with a therapist in the local community. If the therapist you’re calling is available, you can speak with them directly and schedule an appointment for the coming days. If the therapist is not available at the time of the call, the Find clinician will help you leave a voicemail for the therapist to call you back and review scheduling options.Referrals for in person therapy are available for full-time students in the U.S. and some parts of Canada. Please contact UHCS or Find@Northeastern for more details."
What happens when I am referred to ongoing telehealth?,"If you and the Find@Northeastern clinician decide that a referral to ongoing telehealth counseling is appropriate, the clinician will connect you via phone with a Find Navigator who will submit the referral. A counselor will then get in touch with you to schedule your first appointment. From your first appointment forward, you can connect with that therapist on video in real time. Telehealth is conducted by licensed clinicians via a secure videoconference platform called Zoom, which is similar to Skype."
What if I am looking for specialized treatment?,"Through Find@Northeastern, all Northeastern students have unlimited free counseling sessions without using insurance. Find@Northeastern clinicians treat a range of issues, but they do not provide specialized care such as treatment for eating disorders, neuro-psychological testing, treatment for substance use or medication management.If you need to see a clinician who offers specialized care, Find@Northeastern will help locate an appropriate clinician who accepts your insurance."
What if I want a counselor with specific demographics/identities or who speaks a language other than English?,"We make every effort to match you with a Find@Northeastern clinician who meets your demographic, identity, and language preferences; however, if one is not available through Find@Northeastern, we can initiate a referral through your insurance to find a clinician who meets your preferences."
How much will face-to-face and video counseling cost?,"Full-time students enrolled in both the fall and spring semester, including N.U.In students, have access to unlimited free counseling. We make every effort possible to connect you with a therapist who will accept your insurance."
Why might I be referred to treatment in the local community rather than connected with a clinician at UHCS?,"For students based in Boston, the clinicians at UHCS are here to offer brief assessment, follow-up visits and connection to ongoing care as needed. Clinicians in the community are generally able to provide longer-term treatment and more consistent and flexible scheduling, such as evening, Saturday, weekly, and telehealth (online) appointments."
I saw a therapist through Find@Northeastern last year and used all of my available ten sessions. How do I reconnect with a therapist for unlimited free visits?,"As of fall 2021, Northeastern students are eligible for unlimited sessions through Find@Northeastern. If you are looking to reconnect with a therapist, call Find@Northeastern to discuss your current needs and to initiate a new referral. Let the Find clinician know if you are interested in reconnecting with the therapist you saw in the past. They will check to see if that therapist is currently available and if so, they will work to reconnect you with them. If that therapist is not currently available, they will assist you in connecting with another therapist."
What is SilverCloud?,"If moments of anxiety or sadness sometimes stop you in your tracks, Find@Northeastern offers an online program to help you move past those feelings on your own and build resilience as you go.SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.  Several sessions are available in both Spanish and English. You can choose to self-guide or work with a SilverCloud coach who will support you throughout the process.  It will help you build the tools and strategies that could improve your days – and your academic performance. Go to https://student.silvercloudhealth.com/signup Select Northeastern University from the drop-down menu Create an account using your Northeastern email address You will receive a confirmation email from SilverCloud, you must respond in order to complete the log-in process "
Can I access Find@Northeastern after I graduate?,"All full-time students graduating in May can access Find@Northeastern benefits, including the 24/7 support line and referrals for free visits, through the end of May. If you are looking for support options past May, we recommend you reach out to Find@Northeastern prior to May 31 to explore options available through your insurance.Full-time students graduating in August and December can access Find@Northeastern benefits through the last month of their final semester. If you are graduating during these months and looking for support options past graduation, we recommend you reach out to Find@Northeastern prior to August 31st for summer graduates and December 31st for fall graduates."
I received a referral to a therapist through Find@Northeastern in the past but I did not connect with a clinician. I am interested in doing so now. How do I reconnect?,Reach out to Find@Northeastern to initiate a new referral and discuss your current needs.
How do I register for Headspace?,Headspace is available for all full time students through Find@Northeastern. To register for Headspace click here.
About UHCS,
What do we offer at UHCS?,"University Health and Counseling Services (UHCS) offers support, information, and response to Mental and Medical Health concerns. Services include: Same day routine and urgent medical visits Walk-in mental health assessment and treatment  24/7 mental health support  Follow-up visits as needed for medical and mental health concerns Referral to clinical care resources in the community  Immunization compliance  Medical leave of absence  Northeastern University Student Health Plan (NUSHP)  "
Important note,"UHCS does not provide sick notes for students who have missed classes. In accordance with the university catalog, students cannot be required to provide medical documentation. We Care has developed tip sheets to help students communicate with instructors. "
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
What to Expect – Mental Health,
Mental Health Care for Students in Massachusetts,"Mental Health services are available via phone, video and in person by appointment. UHCS offers mental health walk-in hours daily. "
Walk-in hours are available:,Monday through Friday 11:00 AM – 2:00 PMTuesday and Thursday 5:00 PM – 7:30 PM
Find@Northeastern ,"Mental health support is available 24 hours a day, 7 days a week from any location by calling  Find@Northeastern: 877.233.9477 (in the U.S.), 855-229-8797 (Canada), +1.781.457.7777 (outside the U.S.). By calling Find@Northeastern, you will be immediately connected with a mental health clinician who can provide in-the-moment support and recommendations for next steps. Through Find@Northeastern, students have access to a variety of services including referrals to unlimited free therapy and access to the Headspace app. "
Emergencies,"Should you or someone you know have a medical or mental health emergency, please call NUPD at 617.373.3333 (or 911 off-campus) or go to your nearest Emergency Department."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
How to have a mental health visit at UHCS,"If you are interested in speaking with one of our mental health clinicians, call UHCS at 617.373.2772, option #2. You will be scheduled for a brief phone appointment with one of our mental health clinicians. In that call, you’ll be asked to share a little about what’s prompting your interest. You and the mental health clinician will review options and set up next steps. Next steps could include scheduling a counseling or medication appointment, support group, or a referral to ongoing therapy in the local community. "
Can I walk-in and talk to someone?,"Walk-in hours are available:Monday, Wednesday and, Friday 11:00 AM – 2:00 PMTuesday and Thursday 5:00 PM – 7:30 PMTo see a clinician for a walk-in visit during the designated hours, presenet to UHCS and let the Patient Associate know you are looking to speak with a mental health clinician. "
What do I need before my first scheduled visit?,"For in-person visits: Please arrive 10 minutes prior to your scheduled appointment and bring your NUID. You can check-in for an appointment, with the kiosks, which are located on the right hand side of the reception area. Use your Northeastern username and password to check-in on the tablet. You For telehealth visits: Please be available at the scheduled time to receive a call from the mental health clinician. It is important to be in a quiet, private space that is free of distractions during the visit. If meeting with the clinician via video call, it is important that you use a secure internet connection rather than public/free Wi-Fi. Limited telehealth visits are available at this time. "
What if I need to change or cancel my appointment?,"If you need to cancel or change your telehealth appointment, you must notify the clinician and/or UHCS in advance. Call UHCS 617-373-2772. "
What happens after I schedule a telehealth visit? ,"At this time limited telehealth visits are available. You will receive an email to your Outlook Account at the time the appointment is created and again 15 minutes before the start of the appointment. Please check your SPAM folder if it is not in your inbox. The message will appear as below:If there is no box saying, “Start Televisit,” check the top of the email you may need to do one of the following: expand the message, click to view the message in a browser, download pictures, or unblock content blocked by Outlook. If you have not received this email, can’t find it, or have any other issues, contact your clinician or the front desk as soon as possible"
How do I find a private quiet place on campus for my telehealth visit? ,"The university has identified a variety of quiet spaces where students can study and have private conversations. If you have an appointment with UHCS and would like to find a private space, please review the study spaces website to see availability."
What happens during my inital telephone or walk-in visit?,"In a telephone or walk-in visit with a mental health clinician (Licensed Mental Health Clinician, Social Worker, Psychologist, or Nurse Specialist in Clinical Psychiatry) will conduct a brief assessment (fifteen to thirty minutes). Please be open with your clinician so that they can effectively assess your concerns. Inform the clinician of your history, including previous illness, hospitalizations, and any and all medication you have been prescribed in the past. The clinician will review their understanding of your concerns, identify and address your immediate needs, and review a care and safety plan as well as recommendations, which may include:Scheduling a follow-up visit with a UHCS clinician for further assessmentScheduling a medication assessment Referral to ongoing treatment in the local communityReferral to a student support group at UHCSOther helpful campus resources and supportsResources and self-care steps you may take to help manage your condition."
Why might I be referred to treatment in the local community?,"UHCS offers brief assessment and follow-up visits. We will refer you to a local psychotherapist and/or medication provider if we determine that you would benefit from or if you would prefer ongoing treatment. Clinicians in the community are generally able to provide longer-term treatment, more consistent and flexible scheduling, such as evening, Saturday, weekly, and video counseling appointments. For more information about community mental health care, click here."
How long are mental health visits?,Telephone triage calls – 15 minutesWalk-in and follow-up visits – 15 to 30 minutes.Medication assessment visits may take up to 1 hour.Student support groups are generally 1 hour.
Is my treatment confidential?,All services at UHCS are confidential. No information will be shared with anyone outside of UHCS without your consent. You may review more information about confidentiality and release of medical information here.
Does UHCS provide sick notes?,UHCS does not provide sick notes. Find more information on our sick note policy here.
What else do I need to know?,"Some students may feel more comfortable with—or require— the help of a translator. Translator services are available. Please call UHCS and speak with a patient associate to find out more. If you have questions about COVID-19, please visit the Reopening website for more information. "
What to expect when you call Find@Northeastern,"Responsive, empathetic mental health support is available to full-time students, 24 hours a day, 7 days a week, from any location by calling Find@Northeastern at 877.233.9477 (within the U.S.), 855-229-8797 (Canada), or +1.781.457.7777 (International). Calls to Find@Northeastern are answered by licensed master’s level mental health clinicians—people who are there any time, day or night, to provide support and to help you address your immediate concerns. They will also review a care and safety plan as well as recommendations for next steps. "
These steps may include a referral to:,"Referral to unlimited in person or telehealth counseling within your local area. Please note that in person counseling appointments are currently limited due to COVID-19. Ongoing in person counselingOngoing telehealth counselingExploration of SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.UHCS services including follow-up visits, medication assessments, or a student support groupFree Headspace account  "
Are calls to Find@Northeastern confidential?,"All services offered through UHCS, including calls to Find@Northeastern, are confidential. No information will be shared with anyone outside of UHCS without your consent. You may review more information about confidentiality and release of medical information here."
What happens when I am referred to ongoing in person counseling?,"If you and the Find@Northeastern clinician decide that a referral to ongoing, in person therapy is appropriate, the clinician will try to connect you by phone—in that moment—with a therapist in the local community. If the therapist you’re calling is available, you can speak with them directly and schedule an appointment for the coming days. If the therapist is not available at the time of the call, the Find clinician will help you leave a voicemail for the therapist to call you back and review scheduling options. Referrals for in person therapy are available for full-time students in the U.S. and some parts of Canada. Please contact UHCS or Find@Northeastern for more details. "
What happens when I am referred to ongoing telehealth?,"If you and the Find@Northeastern clinician decide that a referral to ongoing telehealth counseling is appropriate, the clinician will connect you via phone with a Find Navigator who will submit the referral. A counselor will then get in touch with you to schedule your first appointment. From your first appointment forward, you can connect with that therapist on video in real time. Telehealth is conducted by licensed clinicians via a secure videoconference platform called Zoom, which is similar to Skype."
What if I am looking for specialized treatment?,"Through Find@Northeastern, all Northeastern students have unlimited free counseling sessions without using insurance. Find@Northeastern clinicians treat a range of issues, but they do not provide specialized care such as treatment for eating disorders, neuro-psychological testing, treatment for substance use or medication management.  If you need to see a clinician who offers specialized care, Find@Northeastern will help locate an appropriate clinician who accepts your insurance. "
What if I want a counselor with specific demographics/identities or who speaks a language other than English? ,"We make every effort to match you with a Find@Northeastern clinician who meets your demographic, identity, and language preferences; however, if one is not available through Find@Northeastern, we can initiate a referral through your insurance to find a clinician who meets your preferences."
How much will face-to-face and video counseling cost?,"Full-time students enrolled in both the fall and spring semester, including N.U.In students, have access to unlimited free counseling. We make every effort possible to connect you with a therapist who will accept your insurance."
Why might I be referred to treatment in the local community rather than connected with a clinician at UHCS?,"For students based in Boston, the clinicians at UHCS are here to offer brief assessment, follow-up visits and connection to ongoing care as needed. Clinicians in the community are generally able to provide longer-term treatment and more consistent and flexible scheduling, such as evening, Saturday, weekly, and telehealth (online) appointments."
I saw a therapist through Find@Northeastern last year and used all of my available ten sessions. How do I reconnect with a therapist for unlimited free visits?,"As of fall 2021, Northeastern students are eligible for unlimited sessions through Find@Northeastern. If you are looking to reconnect with a therapist, call Find@Northeastern to discuss your current needs and to initiate a new referral. Let the Find clinician know if you are interested in reconnecting with the therapist you saw in the past. They will check to see if that therapist is currently available and if so, they will work to reconnect you with them. If that therapist is not currently available, they will assist you in connecting with another therapist."
What is SilverCloud?,"If moments of anxiety or sadness sometimes stop you in your tracks, Find@Northeastern offers an online program to help you move past those feelings on your own and build resilience as you go.SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.  Several sessions are available in both Spanish and English. You can choose to self-guide or work with a SilverCloud coach who will support you throughout the process.  It will help you build the tools and strategies that could improve your days – and your academic performance.Go to https://student.silvercloudhealth.com/signupSelect Northeastern University from the drop-down menuCreate an account using your Northeastern email addressYou will receive a confirmation email from SilverCloud, you must respond in order to complete the log-in process"
Can I access Find@Northeastern after I graduate?,"All full-time students graduating in May can access Find@Northeastern benefits, including the 24/7 support line and referrals for free visits, through the end of May. If you are looking for support options past May, we recommend you reach out to Find@Northeastern prior to May 31 to explore options available through your insurance. Full-time students graduating in August and December can access Find@Northeastern benefits through the last month of their final semester. If you are graduating during these months and looking for support options past graduation, we recommend you reach out to Find@Northeastern prior to August 31st for summer graduates and December 31st for fall graduates. "
I received a referral to a therapist through Find@Northeastern in the past but I did not connect with a clinician. I am interested in doing so now. How do I reconnect?,Reach out to Find@Northeastern to initiate a new referral and discuss your current needs. 
How do I register for Headspace?,Headspace is available for all full time students through Find@Northeastern. To register for Headspace click here. 
Want to know more? Find out more about the benefits free to you with Find@Northeastern.,
Referrals,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Referrals to Mental Health Support:,"All full time, degree seeking Northeastern students (undergraduate, graduate, and law students) are eligible for unlimited free counseling through Find@Northeastern. On your first call with Find@Northeastern, we will help you connect with local or video counselors to schedule session times that work for you.Additional referral resources include BIPOC, LGBTQ+ & AAPI Resources, resources by location, and university resources."
Referrals to Medical Support:,"Referrals to primary care and specialized medical treatment are available. To access a medical referral, please call or walk in to UHCS or contact the Referral Coordinator at 617.373.2772, option #5."
Confidentiality,
Confidentiality and Privacy,"The University Health & Counseling Services (UHCS) will keep all records and communications confidential to the fullest extent of the law. Please be aware of the following exceptions that apply to all medical and mental health treatment.If a clinician has reason to believe that there is imminent danger of serious harm to yourself or others, they may share information and take appropriate steps to prevent harm.If a clinician has reason to believe that a child under the age of eighteen (18), an elderly person (60 or over), or a disabled person is being abused or neglected, they are obligated to report this situation to the appropriate state agency.A court may subpoena medical and mental health records."
It is important that all sections and questions on the form be completed in full.,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Phone and video consultations ,"Northeastern students can schedule remote appointments by phone and/or online video calls with UHCS medical and mental health providers. To schedule a remote consultation, call UHCS at 617.373.2772 and speak with a Patient Associate or leave a message. A clinician will then call you back to conduct a brief assessment and make recommendations for care. If appropriate, the clinician will send you an invitation for a video visit. This invitation will include a link to a HIPPA-compliant video communication platform for the visit.UHCS makes every attempt to maintain confidentiality while engaging in phone and video consultations.  To maintain confidentiality and call quality, it is important that you: Locate a private space for the call with limited background noise and free of distractions. Use a secure internet connection rather than public/free WiFi. Make a plan with your provider in advance in case someone else enters your private location during the call. Prepare to share your location and the best phone number to reach you, in case the connection is lost or you need local emergency services. Do not record your session. Your provider will review confidentiality at the beginning of your call. Please share any questions or concerns at that time. "
Request a release of your information,"If you would like UHCS to share your health records or communicate any information about your care, you must first complete a Release of Medical Records form. This form acknowledges that you give UHCS permission to release your information to the identified party (i.e., another health care provider, a parent, a staff member at Northeastern)."
How do I submit my form?,"Email it to: UHCS@Northeastern.edu Fax it to: 617-373-2601 (Please include a cover sheet) Please allow AT LEAST TWO (2) WEEKS to process the request. While we make every attempt to keep your emails private, please note that email is not considered a confidential form of communication since it could be intercepted in transmission or misdirected (see Confidentiality and Email, below). For this reason, faxing your form is the preferred method of submitting requests."
Ongoing communications with an identified party,Release of Medical Records form must contain the date or date range for which records are being requested. The requested date or date range may not extend past the date on which the request is signed.Please note that UHCS provides two different release formsto release records from UHCSto release records to UHCSStudents at times request to sign a “blanket authorization” allowing a medical or mental health provider the ability to speak with someone such a parent or an advisor on an ongoing basis about their treatment. Federal law prohibits us from fulfilling such requests; UHCS providers can instead work directly with the student to complete a Release of Medical Records form that specifically identifies the type of information to be shared and reflecting a specific date of treatment.
Confidentiality and Billing,"While the majority of services at UHCS are covered by the student health fee, some services are billed to the student’s insurance. These services including blood work, testing, etc. In such cases, we do release information to your insurance company according to any agreements you have signed when accepting your insurance plan."
Confidentiality and Title IX,UHCS staff provide confidential support and services to those affected by sexual violence. This means that they are NOT required to report to the University’s Title IX Coordinator  any information disclosed about an incident of Prohibited Conduct. Confidential resources are also available at through OPEN staff at OPEN’s Sexual Violence Resource Center and the spiritual advisors at the Center for Spirituality Dialogue and Service.
Confidentiality and Email,"Please be aware that email communication is not considered confidential as it can be intercepted in transmission or misdirected. Rather than emailing a provider, please communicate any sensitive information by telephone. Also, please note that any email communication sent to a provider may become part of the student’s medical record.Please do not email UHCS about matters needing urgent attention. The UHCS email mailbox is not consistently monitored."
Sick Note Policy,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Emergencies,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Resources in the Boston Area ,"Boston has numerous top rated nearby emergency departments:Beth Israel Deaconess Medical CenterEmergency Medicine190 Pilgrim Rd.Boston MA 02215Phone: 617-754-2400Tufts Medical CenterEmergency Services800 Washington StreetStreet Level (between Arlington + Stuart Streets)Boston, MA 02111Phone: 617-636-5566Massachusetts General HospitalDepartment of Emergency Medicine55 Fruit StreetBoston, MA 02114Phone: 617-724-4100Boston Medical CenterEmergency MedicineOne Boston Medical Center PlaceBoston, MA 02118Phone: 617-638-8000Brigham and Women’s HospitalEmergency Medicine75 Francis StreetBoston, MA 02115Phone: 617-732-5636Saint Elizabeth’s HospitalEmergency Services Department255 Washington St.Brighton, MA 02135Phone: 617-789-2666Children’s Hospital  (through 21 years of age)Emergency Department300 Longwood AveBoston, MA 02115Phone: 617-355-6000"
Mental Health Visits at UHCS,
Spring 2022 ,"Mental Health services are available via phone, video and in person by appointment for students in Massachusetts. Students outside of Massachusetts can access Find@Northeastern 24 hours a day for mental health support. Walk-in hours are available:Monday through Friday 11:00 AM – 2:00 PMTuesday and Thursday 5:00 PM – 7:30 PMShould you or someone you know have a medical or mental health emergency, please call NUPD at 617.373.3333 (or 911 off-campus) or go to your nearest Emergency Department."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
What happens when I speak with a mental health provider? ,"During an initial phone appointment, a Mental Health clinician will assess your concerns, identify and address your immediate needs, review a care and safety plan and discuss options for further assessment and treatment. These options may include:Scheduling a follow-up visit with a UHCS clinician for further support and assessmentScheduling a medication assessment visitReferral to ongoing treatment in the local communityReferral to a student support group at UHCSExploration of SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.Other helpful campus resources and supportsResources and self-care steps you may take to help manage your conditionCall UHCS during business hours if you have a concern that you feel should not wait for an appointment. In case of emergency, call Northeastern University Police Department emergency line at (617) 373-3333 or 911. Find more information on after hours care here."
UHCS Policy on Sick Notes,UHCS does not provide sick notes. To learn more visit our page regarding sick notes.  University policy indicates that instructors are not allowed to ask a student for medical proof/confirmation of illness or appointment. Please review the university policy in the catalog. 
Psychopharmacology Services,
